block_height,block_time,PUNDIX,USDT,DAI,EURS,LINK,C98,WETH,BUSD,FRAX,USDC,WBTC
17375010,1685489315,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375010,1685489315,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375011,1685489327,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375012,1685489339,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375012,1685489339,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375012,1685489339,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375013,1685489351,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375013,1685489351,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375014,1685489363,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375014,1685489363,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375014,1685489363,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375015,1685489375,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375015,1685489375,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375015,1685489375,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375016,1685489387,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375016,1685489387,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375017,1685489399,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375017,1685489399,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375018,1685489411,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
17375018,1685489411,33360386728760414557108768,733061236484,2500000000000000000,0,0,0,199140750744212298011,0,0,2010000,2735394
